@relation Pacific_Law_plastics_1-V3

@attribute ﻿Long(E) numeric
@attribute Lat(N) numeric
@attribute 'Plastic conc. (pieces/km2)' numeric

@data
-161.41,8.63,632
-157.51,20.76,540
-157.82,22.54,1080
-158.11,24.29,4320
-158.12,25.31,498
-158.11,25.77,23111
-157.97,26.51,11404
-157.96,27.19,9105
-157.82,28.27,3709
-157.74,28.78,26536
-157.67,29.62,2794
-157.65,29.74,690
-157.67,29.78,4692
-157.68,29.86,1692
-157.65,30.27,65751
-157.19,30.94,12954
-156.25,31.8,40632
-155.02,33,19485
-154.36,33.84,22983
-153.83,34.75,24335
-152.11,36.88,61138
-151.21,37.75,152638
-150.06,38.73,42440
-149.87,38.87,113218
-149.7,39.69,17195
-148.12,40.72,9046
-145.47,41.58,4320
-145.39,41.54,7019
-145.36,41.5,6479
-145.32,41.44,22138
-145.17,41.49,16739
-142.25,42.96,2614
-140.85,42.96,7559
-137.53,42.86,2160
-118.64,33.29,2160
-119.4,33.61,2700
-117.45,32.8,540
-118.15,33.2,8639
-118.67,33.69,6479
-109.36,21.42,720
-110.32,20,772
-110.01,18.99,1080
-109.4,18.85,1800
-111.08,17.06,450
-114.22,14.85,519
-115.51,14.1,360
-118.31,12.09,540
-119.57,11.08,1059
-121.13,9.41,837
-122.65,7.93,389
-136.42,-6.23,450
-147.57,-14.8,491
-145.93,-14.91,409
-147.98,7.58,2899
-157.5,20.42,982
-158.18,17.37,3240
-158.38,16.58,540
-158.5,15.58,540
-158.63,14.89,1620
-158.62,14.36,675
-158.52,12.56,675
-157.61,3.95,540
-160.51,3.81,540
-158.89,16.98,540
-158.11,18.89,2025
-158.6,22.65,5999
-158.76,23.34,4050
-158.55,24.35,2907
-158.98,25.03,1495
-159.01,26.27,2963
-159.13,27.27,3866
-160.1,28.97,32439
-161.27,30.87,3343
-161.52,31.43,11685
-158.56,32.86,14435
-157.85,32.92,35725
-157,34.5,8463
-156.35,35.5,35720
-155.17,37.15,8082
-154.29,38.16,21436
-152.85,39.72,30203
-152.87,42.25,1270
-144.76,47.85,675
-138.5,48.09,1200
-131.72,47.98,2700
-123.31,48.32,5340
-126.73,48.79,484
-128.64,50.6,875
-130.91,51.75,583
-128.35,50.03,1053
-124.4,46.15,2027
-118.87,33.67,648
-122.09,29.35,537
-109.39,22.45,705
-109.29,23.15,430
-110.41,24.7,540
-109.64,25.13,1287
-110.2,25.01,1080
-107.34,19.62,1246
-108.73,18.64,4983
-109.72,17.93,1350
-110.38,17.5,3375
-111.23,16.91,454
-112.91,15.11,491
-113.98,13.46,1246
-116.97,10.63,3240
-119.8,8.11,318
-147.95,-16.11,4673
-148.03,-15.65,535
-148.05,-15.19,2837
-147.5,-14.49,551
-147.64,-14.82,4962
-146.28,-14.08,14984
-144.4,-12.66,5690
-143.71,-11.26,1350
-140.93,-9.54,414
-140.87,-7.22,540
-140.72,-6.42,887
-141.06,-5.34,828
-141.5,-4.83,411
-142.29,-2.27,483
-142.69,-0.46,1622
-142.87,0.1,524
-148.64,12.45,1006
-150.97,16.43,3240
-156.75,20.84,12492
-158.81,17.72,13499
-159.19,15.63,2880
-156.42,18.73,5860
-156.43,16.78,4969
-158.35,21.45,582
-158.49,21.67,2695
-158.89,22.93,5062
-158.86,23.72,2692
-158.7,24.28,7001
-158.54,25.21,2041
-158.38,26.54,3501
-158.25,27.33,104734
-158.53,27.96,48484
-157.93,28.9,149109
-154.88,30.13,19688
-154.09,30.27,75753
-152.91,30.28,11997
-152.43,30.12,54803
-150.93,30.72,44133
-149.91,31.48,57180
-148.79,31.91,33088
-147.88,32.01,21303
-146.79,33.07,45674
-146.6,34.09,235048
-146.21,35.12,147195
-145.3,35.5,69058
-140.52,37.86,40107
-139.33,38.04,19765
-136.3,38.27,78449
-134.83,38.33,23134
-133.32,38.48,52168
-132.36,38.56,66030
-130.5,38.74,72241
-129.66,38.73,8913
-126.52,38.63,10714
-123.35,36.29,6051
-124.06,35.88,1521
-124.41,34.46,1310
-120.11,30.71,1593
-114.08,25.84,4486
-111.34,22.94,1147
-109.67,24.4,9475
-109.39,23.61,1058
-109.31,23.23,639
-110.6,20.54,3329
-106.15,20.45,3519
-109.2,19,5940
-110.71,18.64,2705
-112.71,17.54,900
-113.31,17.25,2065
-123.19,8.57,540
-127.33,5.49,1620
-130.46,2.43,509
-132.5,-0.44,361
-134.48,-3.08,410
-143.62,-12.14,608
-149.05,-16.71,1862
-148.28,-15.29,530
-147.32,-14.71,1528
-144.12,-12.96,1028
-143.52,-12.31,540
-141.07,-9.37,982
-157.48,8.65,371
-156.93,4.25,473
-150.74,-16.42,1683
-149.59,-16.66,2056
-149.21,-15.66,1083
-148.17,-13.68,540
-145.88,-12.15,1003
-145.22,-11.75,2250
-143.93,-10.42,1392
-141.72,-4.27,446
-143.81,4.02,338
-146.99,8.19,385
-153.36,18.29,398
-155.21,20.36,512
-155.79,20.8,541
-158.36,22.36,416
-158.18,24.08,3812
-158.1,25.5,7566
-158.14,26.32,26827
-158.01,27.1,32557
-157.8,27.92,16662
-157.76,28.26,86253
-157.57,28.72,164214
-156.64,29.46,62039
-155.7,29.99,8684
-154.62,30.15,6368
-153.61,30.72,13173
-152.73,31.24,13180
-151.63,31.2,9283
-150.42,30.99,21702
-149.57,30.82,50067
-148.61,30.75,147390
-147.73,30.74,88701
-146.63,31.51,129720
-145.77,31.9,77021
-145.04,32.05,106573
-144.16,32.71,120955
-143.01,33.52,57505
-141.96,33.25,80781
-141.79,33.45,273162
-141.38,34.15,149519
-140.53,34.82,230157
-138.84,36.49,79592
-138.06,37.26,7008
-136.76,39.53,18675
-136.74,40.19,18934
-136.31,40.46,44533
-134.55,40.41,6521
-133.09,40.31,32625
-132.05,39.93,6383
-129.34,39.24,1963
-118.12,33.12,6173
-119.61,33.76,5776
-120.2,33.52,5726
-120.6,32.84,5304
-121.22,31.94,395
-122.34,31.55,1941
-124.61,29.93,438
-123.34,28.78,1017
-122.81,28.32,1600
-122.35,27.83,1267
-122.05,27.46,411
-120.01,26.11,877
-118.7,25.55,535
-117.12,25.34,2314
-113.8,25.5,422
-112.71,25.04,1886
-112.54,24.45,837
-112.45,23.79,1320
-111.43,23.18,1378
-110.86,22.72,2036
-110.08,22.73,6272
-109.39,23.02,3424
-110.07,24.6,1795
-110.17,24.83,1944
-110.51,24.73,9756
-109.91,24.81,2125
-108.58,24.34,10660
-109.22,23.62,4713
-108.47,23.58,2415
-107.75,23.53,4378
-108.48,20.56,3600
-107.84,20.5,4986
-107.62,21.01,2150
-106.92,21.13,1515
-109.6,17.55,3761
-110.14,16.89,493
-111.16,15.94,676
-112.26,14.67,511
-112.94,13.58,720
-113.25,13.09,765
-113.75,12.41,1157
-114.15,12.13,3741
-114.77,11.21,2008
-115.78,10.55,1770
-116.15,10.24,3181
-116.56,9.76,444
-118.7,7.6,1035
-137.7,-8.12,764
-138.54,-8.76,537
-140.7,-9.6,600
-143.79,-12.52,3813
-149.02,-16.77,489
-146.12,-13.36,411
-145.65,-12.01,416
-145.36,-10.78,552
-141.78,-10.09,304
-140.8,-9.44,635
-142.5,0.01,540
-144.36,4.33,675
-145.04,7.41,415
-145.57,8.29,675
-146.32,9.22,1016
-149.29,13.8,2541
-157.71,18.58,3044
-157.74,16.82,458
-157.03,7.71,422
-155.31,-4.14,421
-154.94,-6.6,409
-148.64,-15.69,3777
-147.96,-14.81,4025
-146.68,-13.78,1688
-142.82,-10.69,648
-141.53,-9.49,583
-140.89,-8.73,882
-140.82,-9.07,649
-140.06,-6.5,500
-140.69,1.78,474
-141.53,3.96,2201
-145.86,10.03,1791
-150.46,14.76,862
-157.56,21.9,8999
-157.62,22.6,2266
-157.5,23.38,5951
-157.43,23.88,7686
-157.48,24.47,13340
-157.59,24.94,3000
-157.7,25.59,14546
-157.71,25.99,11750
-157.36,27.02,241979
-156.87,28.25,12009
-156.3,29.61,18749
-156.19,30.26,34589
-156.43,30.92,19680
-156.58,31.51,13453
-156.25,32.1,95603
-155.53,32.95,18092
-154.57,33.92,187321
-153.91,34.62,79490
-152.62,35.41,160498
-151.75,35.92,68288
-150.68,36.62,187040
-149.84,37.21,217356
-148.7,37.95,306229
